"code","n_tweets","total_anger","total_anticipation","total_disgust","total_fear","total_joy","total_negative","total_positive","total_sadness","total_surprise","total_trust"
"AK",3,0,2,0,0,0,1,3,1,0,2
"AL",30,7,11,4,5,22,21,34,11,11,23
"AR",21,7,7,3,5,11,11,18,7,7,20
"AZ",85,19,34,6,18,28,36,77,24,18,61
"CA",529,151,183,54,100,327,360,568,183,225,409
"CO",49,13,20,4,15,21,33,45,18,15,36
"CT",25,13,12,5,10,10,25,26,18,9,17
"DE",12,4,4,2,4,6,7,10,5,1,5
"FL",193,46,60,14,44,84,100,181,60,43,135
"GA",136,32,48,11,26,67,72,126,50,34,88
"HI",13,4,3,0,3,10,9,17,3,5,12
"IA",19,9,6,2,5,2,16,8,9,3,14
"ID",6,3,4,1,2,4,5,7,4,4,5
"IL",137,27,28,5,16,86,73,130,32,49,105
"IN",40,16,14,6,12,21,34,32,19,14,28
"KS",13,8,12,1,6,6,11,15,8,5,9
"KY",15,5,7,1,7,10,14,14,3,7,14
"LA",34,9,13,3,4,20,19,42,11,14,28
"MA",55,24,19,7,19,24,41,52,20,16,41
"MD",36,13,15,6,10,25,25,47,17,16,37
"ME",4,1,3,0,2,3,1,7,1,0,6
"MI",87,23,35,11,24,44,47,98,33,18,64
"MN",40,14,11,4,18,16,28,39,14,12,32
"MO",35,7,13,2,7,16,12,33,10,9,25
"MS",27,2,5,1,1,16,11,34,2,8,14
"MT",4,5,2,1,4,3,5,7,4,2,5
"NC",124,38,51,9,22,54,60,113,38,34,79
"ND",3,0,2,0,0,1,1,6,0,1,5
"NE",6,0,3,0,0,2,1,5,1,0,2
"NH",12,5,3,0,4,4,5,8,3,2,6
"NJ",53,15,17,7,16,21,34,42,27,15,44
"NM",24,6,6,0,6,5,13,14,6,4,16
"NV",40,16,15,7,11,26,32,39,11,13,33
"NY",280,52,72,21,45,184,141,314,66,80,213
"OH",74,17,23,12,22,35,49,74,28,20,56
"OK",20,6,8,1,8,8,11,19,5,5,10
"OR",59,17,22,6,15,29,29,57,13,13,45
"PA",92,23,31,8,22,39,51,88,22,25,69
"RI",9,2,7,0,0,3,4,7,5,2,7
"SC",33,8,16,2,7,20,15,42,8,11,26
"SD",4,1,2,1,2,1,2,3,3,1,3
"TN",98,9,22,6,18,48,38,104,17,25,63
"TX",276,56,71,24,45,147,170,272,78,101,198
"UT",10,2,1,0,0,2,3,3,1,2,3
"VA",46,17,20,5,14,17,31,48,13,11,37
"VT",3,0,2,0,0,0,0,4,0,0,4
"WA",81,27,26,7,18,34,60,63,37,27,55
"WI",44,15,17,4,7,25,30,46,18,18,35
"WV",13,4,6,3,7,5,6,11,6,1,9
"WY",3,1,3,1,0,1,2,2,2,1,2
